Heiss_Region,Heiss_Category,Siletti_RegionsThatMap,SilettiROIGroupCoarse,Match_Quality,Boundary_Ambiguity_Flag,Notes
Nucleus accumbens,Subcortical (basal nuclei),Human NAC,Cerebral nuclei,Good,GREEN,"Direct 1-to-1 match."
Pallidum,Subcortical (basal nuclei),"Human GPe; Human GPi; Human Gpe",Cerebral nuclei,Coarse-OK,GREEN,"Heiss reports whole pallidum; Siletti splits into GPe/GPi (and a duplicate 'Gpe' row). Sum or average Siletti subdivisions to compare."
Nucleus medial thalami,Subcortical (thalamus),"Human MD; Human MD-Re",Thalamus,Good,GREEN,"Heiss medial thalamic nucleus = mediodorsal nucleus = Siletti MD (and MD-Re combined). Direct match."
Corpus geniculatum laterale,Subcortical (thalamus posterior),Human LG,Thalamus,Good,GREEN,"LGN - direct 1-to-1 match."
Corpus geniculatum mediale,Subcortical (thalamus posterior),Human MG,Thalamus,Good,GREEN,"MGN - direct 1-to-1 match."
Nucleus subthalamicus,Subcortical (subthalamic),Human STH,Thalamus,Good,YELLOW,"Direct match. Note Siletti puts STH in 'Thalamus' ROIGroupCoarse but anatomically subthalamus is part of diencephalon between thalamus and midbrain. Confirm Heiss treats it consistently."
Basal forebrain,Subcortical (basal forebrain),"Human SI; Human SEP",Cerebral nuclei,Good,GREEN,"Heiss 'basal forebrain' includes nucleus basalis of Meynert, diagonal band of Broca, medial septal nuclei (per the metadata workbook). Siletti SI (substantia innominata = NBM) and SEP (septal nuclei) are the components. Direct match."
Corpus amygdaloideum,Subcortical (amygdala),"Human BL; Human BM; Human CEN; Human CMN; Human CoA; Human La",Cerebral nuclei,Good,GREEN,"Heiss whole amygdala; Siletti splits into 6 subnuclei. Sum or weight by subnuclear volume."
Brain stem nuclei,Brainstem aggregate,"Human PB; Human PN; Human PnRF; Human PnAN; Human PnEN; Human DTg; Human MoAN; Human MoRF-MoEN; Human IO; Human MoSR; Human PAG; Human PAG-DR; Human PTR; Human SC (also separate); Human IC (also separate); Human SN (also separate); Human RN (also separate); Human SN-RN",Hindbrain / Midbrain / Myelencephalon,Coarse-OK,YELLOW,"Heiss 'brain stem nuclei' is an aggregate. Heiss separately reports 4 specific brainstem nuclei (IC, SC, SN, RN) - these should NOT be double-counted in the aggregate. Siletti has fine pontine/medullary subdivisions (PB, PN, PnRF, MoAN, IO, etc.) that have no Heiss equivalent."
Colliculus inferior,Brainstem (midbrain),Human IC,Midbrain,Good,GREEN,"Direct 1-to-1 match."
Colliculus superior,Brainstem (midbrain),Human SC,Midbrain,Good,GREEN,"Direct 1-to-1 match."
Substantia nigra,Brainstem (midbrain),"Human SN; Human SN-RN",Midbrain,Good,GREEN,"Direct match. Siletti has a combined SN-RN row - decompose if needed."
Nucleus ruber,Brainstem (midbrain),"Human RN; Human SN-RN",Midbrain,Good,GREEN,"Direct match."
Cerebellum,Cerebellum (whole),"Human CBL; Human CBV; Human CbDN",Hindbrain (Cerebellum),Good,GREEN,"Heiss whole cerebellum = lateral hemispheres + vermis + deep nuclei. Siletti splits into CBL/CBV/CbDN."
Cerebellar cortex,Cerebellum (cortex only),"Human CBL; Human CBV",Hindbrain (Cerebellum),Good,GREEN,"Excludes deep nuclei. Match to CBL+CBV (lateral hemisphere + vermis cortical layer)."
Vermis,Cerebellum (vermis),Human CBV,Hindbrain (Cerebellum),Good,GREEN,"Direct 1-to-1 match."
Nucleus dentatus cerebelli,Cerebellum (deep nuclei),Human CbDN,Hindbrain (Cerebellum),Coarse-OK,YELLOW,"Heiss reports dentate specifically; Siletti CbDN is all cerebellar deep nuclei (dentate + interposed + fastigial). Heiss value is a subset of Siletti CbDN."
White matter,White matter,(none in Siletti),---,No,GREEN,"Siletti is a transcriptomic atlas of GREY MATTER neurons/glia only. WM is not represented. Drop from Heiss-Siletti regression."
Centrum semiovale,White matter,(none),---,No,GREEN,"Same as above - WM only."
Capsula interna,White matter,(none),---,No,GREEN,"Same as above - WM only."
